Organization Name,Organization Name URL,Industries,Headquarters Location,Description,Estimated Revenue Range,Founded Date,Founded Date Precision,Company Type,Full Description,Funding Status,Number of Funding Rounds,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Last Funding Date,Last Funding Type,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount Currency (in USD),Number of Investors,Number of Lead Investors,Top 5 Investors,IPO Status,Stock Symbol,Stock Symbol URL,CB Rank (Organization),CB Rank (Company),CB Rank (School),Price,Price Currency,Price Currency (in USD),Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount Currency (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Industry Groups,Number of Employees
Linkshops,https://www.crunchbase.com/organization/linkshops,"B2B, E-Commerce, Fashion, Marketplace, Shopping","Seoul, Seoul-t'ukpyolsi, South Korea",April is a Dongdaemoon (Korea's biggest fashion marketplace) based B2B clothing wholesale service.,$10M to $50M,2012.1.1,year,For Profit,"Funded by KTB network, Linkshops.com	is the first multi-lingual B2B marketplace for Dong-dae-moon fashion.",,1,2600000,USD,2600000,2015.11.16,Venture - Series Unknown,2600000,USD,2600000,1,,Altos Ventures,Private,,,"61,844","59,756",,,,,2600000,USD,2600000,2600000,USD,2600000,"Clothing and Apparel, Commerce and Shopping, Design, Other",11-50
"CashFi, Inc.",https://www.crunchbase.com/organization/cashfi-inc,"Internet, Internet of Things","Seoul, Seoul-t'ukpyolsi, South Korea",CashFi is an internet company that specializes in the fields of the internet of things.,,2017.1.1,year,For Profit,"CashFi is an internet company that specializes in the fields of the internet of things. The company was founded in 2017 and headquartered in Seoul-t'ukpyolsi, South Korea.",Seed,2,,,,2018.11.1,Seed,,,,3,1,"SOSV, MOX, Bigbang Angels",Private,,,"61,846","59,758",,,,,20000000,KRW,17789,20000000,KRW,17789,Internet Services,1岿 10老
IVWorks,https://www.crunchbase.com/organization/intellectual-value-works,,"Daejeon, Taejon-jikhalsi, South Korea",IVWorks has been at the forefront of the compound semiconductor industry .,,2011.1.1,year,For Profit,"IVWorks has been at the forefront of the compound semiconductor industry .We are clearly recognized as the high-tech innovator of advanced wide bandgap semiconductor epitaxial wafer products and wafer services to the semiconductor industry.IVWorks technology leadership and passion towards the innovation enable the company to provide a unique service that is second to none.The epitaxial wafer products that we manufacture can be used by chip companies to produce the chips which enable a wide range of high-tech applications. The unique properties of these materials enable a diverse range of markets including wireless communications, advanced solar power, high efficiency LED lighting, efficient power switching and a range of consumer and industrial applications using advanced power devices.Beyond this, IVWorks is also working with leading R&D groups and on a number of major government funded programs to develop the next generation of technology which will combine the scale and maturity of the silicon industry with the advanced properties of compound semiconductors.",Early Stage Venture,1,6700000,USD,6700000,2019.12.13,Series B,6700000,USD,6700000,1,1,Samsung Venture Investment,Private,,,"62,006","59,912",,,,,6700000,USD,6700000,6700000,USD,6700000,,11-50
Malang Studio,https://www.crunchbase.com/organization/malang-studio,"Lifestyle, Mobile","Seoul, Seoul-t'ukpyolsi, South Korea","Malang Studio develops character-centric, gamified lifestyle apps such as Alarmmon, an alarm clock app featuring animation characters.",$1M to $10M,2011.5.1,day,For Profit,"Malang Studio (毵__ろ___) is a Korean provider of a character-based suite of alarm applications for college students. Its product portfolio includes Start-up Morning Dunkin, is a mobile alarm app that enables its users to keep track of their eating habits on a daily basis. Malang Studio was launched in February 2013 in Seoul, Korea.",,2,1900000,USD,1900000,2014.4.9,Venture - Series Unknown,1900000,USD,1900000,2,1,"Yello Mobile, DSC Investment",Private,,,"62,095","60,002",,,,,2100000,USD,2100000,2100000,USD,2100000,"Community and Lifestyle, Mobile",11-50
Best Bristle,https://www.crunchbase.com/organization/bbc-2,"Environmental Engineering, Innovation Management","Daejeon, Taejon-jikhalsi, South Korea",Best Bristle has contributed to enrichment of life quality through Innovative creation and provision of trustable filaments.,,1998.1.1,year,For Profit,"Since 1998, BBC has contributed to enrichment of life quality through Innovative creation and provision of trustable filaments that meet customer_ needs. Nowadays, in the market environment such rapidly changing situation, as a leader of oral care industry, they have recognized that they have great responsibilities.  One of the responsibilities is to provide their customers with quality products but most importantly, they also have the responsibility to support Human and Nature which they live with and in. They are committed to achieving these important goals W.I.T.H BBC and doing their upmost to earn trust of their customers as well as communities.",Early Stage Venture,1,1000000000,KRW,828878,2017.1.1,Series B,1000000000,KRW,828878,1,1,Stonebridge Capital,Private,,,"62,246","60,142",,,,,1000000000,KRW,828878,1000000000,KRW,828878,"Professional Services, Science and Engineering, Sustainability",51-100
"Innopresso,Inc.",https://www.crunchbase.com/organization/innopresso-inc,"Electronics, Human Computer Interaction, Manufacturing, Software","Seongnam, Kyonggi-do, South Korea",Touchpad Embedded Keyboard Manufacture Company.,,2012.10.31,day,For Profit,"The Fusion Keyboard Mokibo is a multi-functional keyboard with the ability to switch from a conventional mechanical (pantograph) keyboard to a large touchpad. Therefore, it maintains the typing experience of the mechanical keyboard that the virtual keyboard of the touch screen does not imitate, and at the same time, the touch pad having the size more than three times of the general notebook's touch pad is implemented in the keyboard, It can be used for PC keyboard, portable keyboard for the smart devices and also notebook keyboard module.",Seed,2,550000,USD,550000,2017.12.14,Seed,550000,USD,550000,2,2,"Korea Investment Partners, Bigbang Angels",Private,,,"62,325","60,215",,,,,567398,USD,567398,567398,USD,567398,"Consumer Electronics, Design, Hardware, Manufacturing, Science and Engineering, Software",1岿 10老
TNT Crowd,https://www.crunchbase.com/organization/tnt-crowd,"E-Learning, Education, Online Portals","Seoul, Seoul-t'ukpyolsi, South Korea",Educast is an online lecture platform providing a convenient space to link students and teachers around the world.,Less than $1M,2012.7.24,day,For Profit,"Educast is an online lecture platform providing a convenient space to link students and teachers around the world.  The website features a list of lectures that are ready to offer tutoring services to students on various topics and courses. All lecturers are listed in broad categories and users may browse and select their choice of tutor according to their requirement. The website also enables users to register as lecturers on the website, and connect with students who request their services.",Seed,5,,,,2017.8.25,Seed,,,,1,,Strong Ventures,Private,,,"62,471","60,358",,,,,200000000,KRW,177462,400000000,KRW,361319,"Education, Internet Services, Software",1岿 10老
Nunaps,https://www.crunchbase.com/organization/nunaps,Therapeutics,"Seoul, Seoul-t'ukpyolsi, South Korea",Nunaps operates as a digital therapeutics startup.,,2017.1.1,year,For Profit,Nunaps operates as a digital therapeutics startup.,Early Stage Venture,1,4200000,USD,4200000,2020.1.6,Series A,4200000,USD,4200000,3,,"KTB Network, Company K Partners, K2 Investment Partners",Private,,,"62,594","60,477",,,,,4200000,USD,4200000,4200000,USD,4200000,Health Care,1岿 10老
Channel Breeze,https://www.crunchbase.com/organization/channel-breeze,"Apps, Navigation","Seoul, Seoul-t'ukpyolsi, South Korea",Channel Breeze is a mobile navigation application that provides its users with an apartment hunting services.,,2011.1.1,year,For Profit,"Channel Breeze is a mobile navigation application that provides its users with an apartment hunting services. The company is based in Seoul, South Korea.",,2,918000,USD,918000,2015.2.16,Venture - Series Unknown,918000,USD,918000,1,1,Altos Ventures,Private,,,"62,646","60,525",,,,,1211035,USD,1211035,1211035,USD,1211035,"Apps, Navigation and Mapping, Software",
Grepp,https://www.crunchbase.com/organization/grepp,"Education, Information Technology, Software","Seoul, Seoul-t'ukpyolsi, South Korea","Grepp, Inc. supports all activities for education.",,2014.1.1,year,For Profit,"Grepp, Inc. supports all activities for education, exchange and problem solving to enhance developers' competitiveness and helps everyone participate in software development. they also teach their children to understand and use the value of software to develop creative problem solving skills. Helping developers find the right career path for their dreams and helping them find valuable people to create software that can deliver the highest value to their customers. Excellent and enthusiastic developers and companies can meet and help us realize their dreams.",Seed,1,300000000,KRW,277507,2017.12.20,Seed,300000000,KRW,277507,1,1,Kakao Ventures,Private,,,"62,817","60,687",,,,,300000000,KRW,277507,300000000,KRW,277507,"Education, Information Technology, Software",11-50
ulalaLAB,https://www.crunchbase.com/organization/ulalalab,"Enterprise Software, Hardware, Industrial Automation, Information Technology, Internet of Things, Machine Learning, SaaS, Service Industry","Seongnam, Kyonggi-do, South Korea","ulalaLAB, South Korean startup company specializing in Industrial IoT, SaaS and Machine Learning technologies.",Less than $1M,2011.1.1,year,For Profit,"ulalaLAB is a South Korean startup company specializing in IIoT, SaaS and Machine Learning technologies, that develops, manufactures, and sells affordable and easy to implement IoT Smart Factory platform with AI based industrial big data analytics for small and medium size enterprise manufacturers both in Korea and abroad.  We are dedicated to address issues that industries, people and society face every day by providing cost effective, easy to implement solutions that effectively combine innovative technologies with _uman at the center of everything. We emphasize on importance of connected technology in human and machinery daily work balance with people and businesses conveniently utilizing our solutions to perform better more informed decisions. Our Smart Factory Platform a 'WimFactory' is a simplified solution that conveniently & cost effectively transforms SME factories into Industry 4.0 standards '_n minutes not month' by simply installing one or few of self-developed IIoT Devices 'Wicon' that works in a principal of plug & play technology. And jointly with  Cloud Platform and Machine Learning capabilities enable factories to gain instant access to real time data by capturing, analyzing and displaying operations data from all types of sensors surrounding production line, even from old and outdated equipment, as a result significantly increasing quality control over factory operations - all without changing existing production line equipment and process or retraining employees and staff. ",Early Stage Venture,4,2000000,USD,2000000,2018.4.25,Series A,2000000,USD,2000000,5,2,"Stic Investment, Magna Investment, Aviram Jenik, KOISRA Seed Partners, JW Asset",Private,,,"63,258","61,111",,,,,2600000,USD,2600000,2600000,USD,2600000,"Artificial Intelligence, Data and Analytics, Hardware, Information Technology, Internet Services, Manufacturing, Other, Science and Engineering, Software",11-50
SL BIGEN,https://www.crunchbase.com/organization/sl-bigen,Product Research,"Seongnam, Kyonggi-do, South Korea",SL BIGEN is a R&D-oriented company,$1M to $10M,2006.1.1,year,For Profit,,,1,3000000000,KRW,2568867,2019.11.19,Corporate Round,3000000000,KRW,2568867,1,1,Yuhan Corporation,Private,,,"63,265","61,118",,,,,3000000000,KRW,2568867,3000000000,KRW,2568867,"Data and Analytics, Design",1岿 10老
Jampick,https://www.crunchbase.com/organization/jampick,"Apps, Gaming, Mobile, Online Games","Seoul, Seoul-t'ukpyolsi, South Korea",Jampick are a start-up mobile game development company.,Less than $1M,2013.3.1,day,For Profit,"Jampick was established in March, 2013. There are 13 employees. They are a start-up mobile game development company. Their employees are highly experienced in the development of online multiplayer games.   Since They opened their gaming business, they've developed three mobile games. One is called Farmislandstory and another is Monster War and the otehr is Battle Gates(""tentatively named"")   Farmislandstory(""FIS"") is a 3D side scrolling running and farming game. The story is that ""FIS"" was devastated by invaders and they took all the treasures from Farm Island. The female and male guardians of the Farm Island are out to defend Farm Island and rebuild the village destroyed by the invaders.",Seed,1,299992000,KRW,284989,2013.12.13,Seed,299992000,KRW,284989,1,1,"Capstone Partners Co., Ltd.",Private,,,"63,594","61,434",,,,,299992000,KRW,284989,299992000,KRW,284989,"Apps, Gaming, Mobile, Software",11-50
